Time,Left_X,Left_Y,Left_Z,Right_X,Right_Y,Right_Z,F_Left_X,F_Left_Y,F_Left_Z,F_Right_X,F_Right_Y,F_Right_Z
6160,0.0865592,0.004573,0.79613,-0.243171,-0.0062807,0.811795,0.0859098,0.00557503,0.796483,-0.243482,-0.00593369,0.813492
6211,0.0868006,0.00798868,0.792879,-0.242096,-0.0068416,0.811673,0.0859105,0.00552451,0.796643,-0.243532,-0.00588407,0.813394
6277,0.0852448,0.00738669,0.791721,-0.241999,-0.00568208,0.814639,0.085903,0.00548028,0.796742,-0.243557,-0.00584186,0.813262
6320,0.0863676,0.00401655,0.79831,-0.24475,-0.00485075,0.812456,0.0859229,0.00543187,0.796822,-0.243584,-0.00581921,0.813206
6361,0.0855629,0.00723856,0.792378,-0.243063,-0.00527339,0.813236,0.0859134,0.00543942,0.796733,-0.243579,-0.00579588,0.813172
6404,0.085479,0.00614368,0.79615,-0.243163,-0.00514983,0.811638,0.0859044,0.00542464,0.796754,-0.243583,-0.00576025,0.81314
6447,0.0864377,0.00530165,0.797145,-0.24529,-0.00472363,0.809986,0.0859092,0.00544638,0.796723,-0.243586,-0.00568952,0.813032
6490,0.0853781,0.00505792,0.796288,-0.243776,-0.00438052,0.811894,0.0859091,0.00546818,0.796663,-0.243597,-0.00562655,0.812951
6535,0.0858166,0.0047169,0.797289,-0.244754,-0.00558061,0.813789,0.0859062,0.00547273,0.796576,-0.243624,-0.00559439,0.812845
6580,0.0858519,0.00280514,0.80078,-0.24269,-0.00673924,0.816079,0.0859175,0.00550022,0.796423,-0.243595,-0.00558437,0.812779
6625,0.0861135,0.00430923,0.797845,-0.243972,-0.00759851,0.814072,0.0859222,0.0055294,0.796297,-0.243569,-0.00558685,0.812761
6678,0.0868813,0.00428582,0.795066,-0.24344,-0.00766611,0.815692,0.0859198,0.0055069,0.796206,-0.243569,-0.005586,0.812799
6721,0.086714,0.00325965,0.798086,-0.243986,-0.00387263,0.806705,0.0859369,0.00544634,0.796213,-0.2436,-0.00556952,0.812771
6765,0.0870042,0.00360265,0.799823,-0.244683,-0.005376,0.812068,0.0859488,0.00537817,0.796259,-0.243624,-0.0055605,0.812736
6807,0.0862489,0.00560956,0.794337,-0.243018,-0.00478053,0.812938,0.0859823,0.00526415,0.796403,-0.243663,-0.00554919,0.812686
6850,0.0869086,0.00253122,0.80139,-0.243585,-0.00717302,0.814371,0.0860287,0.00512207,0.796547,-0.24371,-0.00557007,0.812676
6892,0.0867475,0.00094955,0.803611,-0.244058,-0.00570616,0.817014,0.0860723,0.00492418,0.796769,-0.243735,-0.00562414,0.81278
6935,0.088399,0.00761702,0.795387,-0.241935,-0.00674305,0.813262,0.086147,0.0047474,0.797011,-0.243742,-0.00570356,0.812889
6977,0.0887935,0.00502635,0.797666,-0.244393,-0.00520159,0.813498,0.0862482,0.00458695,0.79726,-0.243727,-0.00576887,0.812996
7020,0.0888508,0.00433141,0.797442,-0.245416,-0.00521228,0.812632,0.0863798,0.00444988,0.797476,-0.243764,-0.00580715,0.813047
7062,0.0872849,0.00482903,0.800099,-0.243438,-0.00538201,0.813299,0.0865276,0.00432066,0.797697,-0.243788,-0.00581008,0.813067
7104,0.0848151,0.00545302,0.796255,-0.241787,-0.00551867,0.810835,0.086654,0.00424013,0.797908,-0.243782,-0.00578329,0.812998
7147,0.0868478,0.00469129,0.79721,-0.242965,-0.00610373,0.810702,0.0867669,0.00421519,0.798047,-0.243746,-0.00579691,0.813049
7189,0.087872,0.00891573,0.792064,-0.243037,-0.00654655,0.81459,0.0868822,0.00424752,0.798093,-0.243695,-0.00581698,0.813129
7232,0.0857507,0.00620156,0.795237,-0.243354,-0.00415661,0.812186,0.0869857,0.00430206,0.798129,-0.243647,-0.00583574,0.813204
7278,0.0860257,0.0055015,0.799732,-0.244265,-0.00326128,0.808806,0.087066,0.00442243,0.798095,-0.243601,-0.00579515,0.813196
7331,0.0879841,0.00682202,0.792793,-0.243124,-0.00552716,0.81319,0.0871556,0.00464504,0.797889,-0.243559,-0.00574295,0.81308
7374,0.0881423,0.00527159,0.797096,-0.243684,-0.00406831,0.811354,0.0872124,0.00481861,0.797709,-0.243552,-0.00564037,0.812931
7423,0.0871724,0.00588277,0.799128,-0.245668,-0.00409146,0.811757,0.0872232,0.00499764,0.797539,-0.243562,-0.00553049,0.812768
7483,0.088521,0.00722465,0.797102,-0.243403,-0.00607241,0.814924,0.0872008,0.00519035,0.7974,-0.243524,-0.00544447,0.812662
7525,0.0893334,0.00569104,0.797405,-0.242293,-0.00536231,0.812626,0.0871871,0.00538648,0.797211,-0.243481,-0.00538042,0.812556
7571,0.0862049,0.00434024,0.802245,-0.24469,-0.00451579,0.811594,0.087208,0.00555981,0.79707,-0.243482,-0.00532782,0.812508
7615,0.0887166,0.00489549,0.801458,-0.243471,-0.00555221,0.814663,0.0872462,0.00572086,0.796981,-0.243499,-0.00524739,0.812458
7671,0.0866509,0.00223413,0.805061,-0.245223,-0.00545871,0.814282,0.0872635,0.00576197,0.797099,-0.243555,-0.00514437,0.812381
7727,0.0861537,0.00496847,0.800044,-0.243588,-0.00299327,0.815238,0.0872899,0.00578483,0.797256,-0.243609,-0.00503597,0.812341
7770,0.0882729,0.00448324,0.801444,-0.244186,-0.00439413,0.812078,0.0873475,0.0057678,0.797446,-0.243656,-0.00497801,0.81239
7814,0.085963,0.0032315,0.805115,-0.244667,-0.00342433,0.812278,0.0873726,0.00565614,0.797869,-0.243728,-0.00490081,0.812468
7857,0.0866142,0.000489712,0.807293,-0.246186,-0.00344818,0.80897,0.087385,0.00552012,0.798376,-0.243807,-0.00484415,0.812541
