Time,Left_X,Left_Y,Left_Z,Right_X,Right_Y,Right_Z,F_Left_X,F_Left_Y,F_Left_Z,F_Right_X,F_Right_Y,F_Right_Z
2631,0.0391657,-0.0553989,0.454731,-0.122221,0.0151472,0.489717,0.074535,-0.0256022,0.469242,-0.0940031,0.0298584,0.488322
2667,0.0348213,-0.0574348,0.453942,-0.110847,0.006085,0.482895,0.0704824,-0.0303904,0.468417,-0.0969991,0.0277517,0.490391
2702,0.0298549,-0.0591455,0.452928,-0.099519,-0.00205213,0.479905,0.0661978,-0.0345675,0.467382,-0.0999068,0.0258022,0.491665
2737,0.0308733,-0.0578912,0.45698,-0.0798816,-0.00531128,0.480899,0.0618439,-0.0381587,0.46619,-0.102425,0.0238967,0.492198
2769,0.0326098,-0.0541714,0.454235,-0.0651236,-0.0142709,0.475509,0.0576858,-0.0412068,0.464846,-0.104215,0.0218412,0.492117
2799,0.0426239,-0.0489816,0.468292,-0.0423701,-0.0167756,0.488493,0.0539343,-0.0439192,0.463498,-0.104913,0.0194713,0.491693
2829,0.0165085,0.00663799,0.472903,-0.00945894,-0.0740146,0.489047,0.0503819,-0.0457223,0.462335,-0.10417,0.0162486,0.491076
2858,0.0149609,0.0104626,0.468733,0.014004,-0.0745146,0.479447,0.0469107,-0.0465665,0.461339,-0.101782,0.0122309,0.490143
2900,0.0303127,-0.0762043,0.465567,0.0120431,0.0196247,0.458339,0.0437586,-0.0473211,0.460591,-0.0977128,0.00838182,0.488854
2929,0.0202822,0.00160274,0.452288,-0.0169862,-0.0805704,0.47324,0.0408933,-0.0470577,0.460013,-0.0921605,0.00381612,0.487433
2962,0.0165763,0.0166565,0.454753,0.00881151,-0.0885277,0.468489,0.038192,-0.0457615,0.45964,-0.0849852,-0.00159977,0.485848
2993,0.0146816,0.00722897,0.458628,-0.0173823,-0.0795624,0.477617,0.0356657,-0.0435546,0.459514,-0.0767301,-0.00767274,0.484325
3025,0.0110078,0.00615501,0.452081,-0.0236847,-0.0775093,0.471427,0.0332904,-0.0405138,0.459531,-0.0677739,-0.0143076,0.482849
3062,0.00582243,0.00833389,0.44934,-0.0297815,-0.0763093,0.469167,0.0309389,-0.0366573,0.45957,-0.0586016,-0.0214118,0.481375
3105,0.00688079,0.0115482,0.459361,-0.0286722,-0.0726324,0.478413,0.0285419,-0.0320581,0.459786,-0.0495149,-0.0287506,0.480105
3138,0.0303142,-0.0481356,0.458288,-0.0524768,-0.0102283,0.477082,0.0261295,-0.027344,0.459912,-0.0412077,-0.0355632,0.478817
3171,0.0322113,-0.047438,0.460566,-0.0556062,-0.00245133,0.481433,0.024229,-0.0236617,0.459815,-0.0343666,-0.0406549,0.477506
3203,0.0306782,-0.041501,0.463809,-0.0528143,-0.000945803,0.48467,0.0228901,-0.0210642,0.459596,-0.029431,-0.0440463,0.476424
3236,0.0318517,-0.0391772,0.459186,-0.0501388,0.00214947,0.482271,0.0217567,-0.0178213,0.459243,-0.0263758,-0.0476023,0.475923
3268,0.035291,-0.0398093,0.459039,-0.0465752,0.00191755,0.482247,0.0209898,-0.0155774,0.458987,-0.0246554,-0.0493768,0.475676
3300,0.0350386,-0.0401321,0.452098,-0.0486289,0.000413518,0.478065,0.0206333,-0.014622,0.458705,-0.0248198,-0.0492251,0.475738
3334,0.0299002,-0.0385216,0.436882,-0.0530252,0.000539694,0.464658,0.0206304,-0.0147707,0.458159,-0.0262752,-0.0474159,0.475722
3373,0.0568722,-0.0261665,0.638987,-0.0394619,-0.0268414,0.395879,0.020816,-0.0155724,0.45762,-0.0284889,-0.0448522,0.475791
3416,0.0733553,-0.0276008,0.641879,-0.0523027,-0.0216631,0.374058,0.0212521,-0.0170364,0.457159,-0.0312037,-0.0415784,0.475978
3472,0.0673739,-0.0410408,0.585566,-0.0919769,-0.00617073,0.331931,0.0236844,-0.0203661,0.461702,-0.035299,-0.0360033,0.472964
3534,0.0677574,-0.0491654,0.552611,-0.109123,0.00410838,0.3082,0.0266142,-0.0237144,0.467289,-0.0398597,-0.0303503,0.468375
3607,0.114347,-0.0728956,0.450913,-0.105185,0.0136126,0.230006,0.0302084,-0.0267766,0.472903,-0.0444547,-0.0252523,0.461349
5633,0.11979,0.0303309,0.368028,-0.233906,0.0953186,0.886594,0.0336454,-0.0293192,0.478566,-0.0483815,-0.02089,0.45427
5740,0.147589,0.0330601,0.413922,-0.167548,-0.0359384,0.489766,0.0370669,-0.032232,0.484292,-0.0516865,-0.0163529,0.446952
5850,0.130569,0.0345086,0.417011,-0.187157,-0.0213372,0.479463,0.0403385,-0.0347308,0.489952,-0.0546956,-0.0126407,0.439543
5957,0.113154,0.0444709,0.417414,-0.206397,0.011745,0.46756,0.0472078,-0.0336317,0.49346,-0.0630988,-0.00935539,0.436001
6061,0.0920532,0.0473016,0.407424,-0.230663,0.0278523,0.439205,0.0545464,-0.0312169,0.496891,-0.072922,-0.00659796,0.432333
6167,0.0876394,0.048135,0.393613,-0.235846,0.0303038,0.423795,0.0621928,-0.0280591,0.497868,-0.084709,-0.00326909,0.428944
6278,0.0958996,0.042219,0.38853,-0.227474,0.0266958,0.426515,0.0700645,-0.024203,0.496312,-0.0982477,0.00054338,0.42608
6380,0.0971938,0.0316895,0.390552,-0.22348,0.0167037,0.429716,0.0764956,-0.0184113,0.487749,-0.112085,0.00286683,0.427366
6479,0.0943549,0.0224465,0.391576,-0.227498,0.00961624,0.427718,0.0828182,-0.0118931,0.476633,-0.12654,0.005102,0.431535
6578,0.0862935,0.0124941,0.39648,-0.238245,0.0048656,0.426918,0.0880389,-0.00426642,0.465068,-0.14183,0.00708905,0.440187
6672,0.0714472,0.00443565,0.40337,-0.24086,0.00514754,0.421145,0.0927762,0.0031013,0.453858,-0.15719,0.00817439,0.444186
6765,0.0683799,-0.00149925,0.411857,-0.240803,0.00736156,0.418785,0.0967214,0.0101234,0.442626,-0.173282,0.00969273,0.447474
6859,0.0597559,0.00190096,0.416585,-0.237863,0.0128317,0.420084,0.0999585,0.0168195,0.43139,-0.189881,0.0115528,0.450169
6954,0.0581474,0.00552457,0.417793,-0.240708,0.0161762,0.422313,0.098863,0.0200961,0.422336,-0.200854,0.0129946,0.448449
7047,0.0524231,0.0118769,0.410415,-0.234301,0.0223195,0.411944,0.0967498,0.0221603,0.413606,-0.210088,0.0141079,0.446712
7140,0.0421131,0.0257453,0.401677,-0.225429,0.0390045,0.396092,0.0938735,0.0232576,0.407411,-0.217253,0.0147368,0.444419
7232,0.0390645,0.0358283,0.396436,-0.220949,0.0482616,0.387981,0.0902035,0.0235928,0.403828,-0.222602,0.0150978,0.441215
7320,0.0314478,0.0448431,0.390708,-0.215143,0.0550589,0.375501,0.0855779,0.0233322,0.402197,-0.226552,0.0156136,0.436492
7410,0.0400571,0.0497945,0.385442,-0.221517,0.0457853,0.373762,0.0801433,0.022629,0.402114,-0.229259,0.016436,0.430034
7497,0.0341638,0.0423309,0.38783,-0.22117,0.0329852,0.370135,0.0744679,0.0213702,0.40249,-0.230464,0.0176271,0.421039
7586,0.0333645,0.0250412,0.387838,-0.21722,0.00510547,0.368002,0.0688951,0.0205765,0.402357,-0.231363,0.0197194,0.416167
7672,0.0345977,0.0163301,0.388855,-0.218558,-0.00836328,0.363656,0.0637766,0.0203066,0.402014,-0.231308,0.0212215,0.411453
7759,0.0364709,0.0130965,0.38724,-0.217658,-0.0153322,0.362509,0.0591334,0.0204748,0.401383,-0.230543,0.0221003,0.406758
7849,0.0487785,0.00887707,0.387481,-0.222655,-0.0274951,0.367851,0.0549465,0.021066,0.400444,-0.229254,0.0224981,0.40197
7941,0.0622164,-0.00461498,0.392987,-0.231837,-0.0570106,0.379893,0.0512539,0.0218465,0.399301,-0.227905,0.0221578,0.397134
8035,0.0629655,0.00136242,0.391468,-0.237395,-0.0600861,0.384166,0.0482251,0.022607,0.397976,-0.226779,0.0207397,0.392457
8132,0.0758551,-0.00430937,0.389806,-0.241037,-0.0778413,0.394141,0.0461326,0.0230301,0.396505,-0.22592,0.0178449,0.388226
8228,0.0728324,-0.00532079,0.393083,-0.241194,-0.0699725,0.387848,0.0451113,0.02282,0.395057,-0.225404,0.0133162,0.384661
8323,0.0704987,-0.00391098,0.3935,-0.241512,-0.0698926,0.387788,0.0449374,0.0217994,0.39375,-0.225149,0.00726906,0.381775
8424,0.0673278,-0.00133818,0.397494,-0.238091,-0.0648592,0.388273,0.0456165,0.0200437,0.392626,-0.225233,-3.77385e-05,0.379639
8519,0.0661752,0.00240744,0.397978,-0.241299,-0.0629034,0.39098,0.0470045,0.0178557,0.391759,-0.225794,-0.0080242,0.378264
8615,0.0657624,-0.00104621,0.392946,-0.238843,-0.0636453,0.38544,0.049042,0.0153155,0.391163,-0.226781,-0.0164062,0.377659
8712,0.0645789,-0.00144073,0.392578,-0.234808,-0.059163,0.38002,0.0515934,0.0125181,0.390914,-0.228141,-0.0249449,0.377804
8809,0.0730811,0.00590128,0.391918,-0.241903,-0.0606027,0.39214,0.0544816,0.00965733,0.391013,-0.229874,-0.033378,0.378736
8916,0.0759956,-0.00376621,0.395711,-0.236944,-0.0783479,0.392295,0.0574095,0.00697,0.391313,-0.231683,-0.0412311,0.380113
9022,0.0964834,-0.000903562,0.416653,-0.223509,-0.0598882,0.436957,0.0604642,0.00450383,0.391966,-0.233233,-0.0480914,0.382138
9126,0.139601,0.0546593,0.436309,-0.181983,0.00416605,0.498579,0.0637884,0.00302873,0.393152,-0.233992,-0.0528705,0.385145
9220,0.123017,0.0724546,0.466098,-0.202543,0.0423214,0.519213,0.0672006,0.00283302,0.395043,-0.234104,-0.0552764,0.389342
9307,0.130801,0.013037,0.494716,-0.194087,-0.0153395,0.547057,0.0709114,0.00334385,0.397866,-0.233542,-0.05598,0.394991
9392,0.151712,-0.0082614,0.503694,-0.171086,-0.0476096,0.565605,0.0751344,0.00422213,0.401655,-0.23214,-0.0555327,0.402233
9479,0.158622,0.0512158,0.519297,-0.163411,0.0276553,0.589608,0.0799537,0.00581484,0.406555,-0.229719,-0.0534997,0.411231
9565,0.167161,0.0781826,0.512428,-0.150948,0.0603642,0.598438,0.0854754,0.0083736,0.412609,-0.226216,-0.0496737,0.422141
9651,0.195306,0.0885006,0.505988,-0.116134,0.0715323,0.613925,0.0920233,0.0119771,0.419744,-0.221355,-0.0441025,0.435216
9737,0.207035,0.102412,0.505144,-0.101516,0.0968855,0.627895,0.0996677,0.0165756,0.427967,-0.214897,-0.0366253,0.450404
9825,0.203563,0.0972761,0.506368,-0.104508,0.0955866,0.630523,0.10845,0.0221759,0.437269,-0.207064,-0.0271955,0.467851
9912,0.195328,0.0986158,0.501117,-0.113751,0.103226,0.623067,0.117886,0.0287941,0.447164,-0.198273,-0.0161364,0.486632
9998,0.185045,0.085682,0.503234,-0.128569,0.0834112,0.617643,0.127138,0.0351328,0.457263,-0.189537,-0.005105,0.505558
10085,0.18364,0.0847917,0.505924,-0.127987,0.0794296,0.616686,0.136495,0.0408172,0.46703,-0.180443,0.00517456,0.524146
10170,0.189647,0.0785702,0.510303,-0.124346,0.071655,0.6224,0.145837,0.0469874,0.475941,-0.171125,0.0157785,0.541894
10256,0.192404,0.0787181,0.511245,-0.117533,0.0722297,0.6216,0.154743,0.0540966,0.483866,-0.161942,0.0274084,0.558429
10343,0.19552,0.0799048,0.512777,-0.112079,0.068689,0.631296,0.163093,0.0610047,0.490512,-0.153025,0.038543,0.573395
10436,0.192634,0.0838493,0.509825,-0.1153,0.0733644,0.628769,0.170683,0.0671771,0.495937,-0.14463,0.0485676,0.586534
10523,0.187312,0.0858918,0.508511,-0.121869,0.0773524,0.624439,0.176887,0.072424,0.500253,-0.137479,0.0573433,0.597439
10610,0.182917,0.0906186,0.509641,-0.128718,0.0825954,0.620458,0.18151,0.0765879,0.503482,-0.132004,0.0644013,0.605912
10696,0.181589,0.0924333,0.50658,-0.129806,0.0828371,0.618571,0.184637,0.0796929,0.505607,-0.128106,0.0695925,0.611883
10783,0.177844,0.0976405,0.507548,-0.137191,0.0900667,0.617962,0.186601,0.081793,0.506951,-0.125541,0.0730209,0.615942
10870,0.164177,0.10273,0.504435,-0.150635,0.0949117,0.603599,0.187902,0.0837533,0.507638,-0.12373,0.0757719,0.61867
10962,0.158748,0.104805,0.504221,-0.158367,0.0990674,0.596457,0.188348,0.0857904,0.50791,-0.122968,0.0783482,0.620221
11052,0.154649,0.108999,0.499496,-0.161507,0.0991371,0.592637,0.187855,0.0874765,0.507918,-0.123276,0.0803293,0.620721
11144,0.153736,0.109934,0.502506,-0.163343,0.102056,0.588661,0.186569,0.0886049,0.507763,-0.124577,0.0814103,0.620332
11240,0.154597,0.111889,0.501303,-0.163323,0.104942,0.591577,0.184504,0.0897662,0.507558,-0.126904,0.0824436,0.619128
11325,0.153441,0.116512,0.502733,-0.167118,0.111801,0.593527,0.181793,0.0911976,0.507309,-0.130105,0.0837311,0.617269
11410,0.149939,0.118229,0.500237,-0.170908,0.116693,0.584954,0.178788,0.0929783,0.506951,-0.13374,0.0853539,0.61491
11490,0.14866,0.121379,0.4992,-0.169565,0.11903,0.585192,0.175682,0.0951847,0.506444,-0.137511,0.087484,0.612273
11571,0.145483,0.125061,0.494742,-0.172272,0.120741,0.580578,0.172434,0.0977657,0.505817,-0.141454,0.0901205,0.609375
11645,0.140455,0.129269,0.489741,-0.182324,0.122241,0.575128,0.168988,0.100673,0.504947,-0.145613,0.0932105,0.6061
11715,0.132205,0.136756,0.484997,-0.183908,0.130013,0.567638,0.16543,0.10375,0.503871,-0.149885,0.0965364,0.602605
11783,0.127741,0.148557,0.479211,-0.189649,0.127795,0.566898,0.161811,0.107064,0.502562,-0.154166,0.0999532,0.599018
11853,0.138105,0.17341,0.473115,-0.169883,0.115558,0.579812,0.158377,0.110718,0.501097,-0.158159,0.103259,0.5956
11927,0.140413,0.182773,0.463851,-0.149014,0.0891339,0.594479,0.155196,0.114788,0.499333,-0.16155,0.106138,0.592569
12004,0.139177,0.178668,0.454577,-0.122469,0.055556,0.60202,0.15227,0.119206,0.497216,-0.164021,0.10816,0.59004
12087,0.138962,0.180465,0.446507,-0.102763,0.038077,0.60259,0.149592,0.123938,0.494608,-0.165329,0.109061,0.587954
12170,0.141134,0.17229,0.433261,-0.0853691,0.0138524,0.60297,0.147199,0.128886,0.491413,-0.165292,0.10854,0.586443
12255,0.138054,0.171735,0.429677,-0.0775994,0.0141483,0.604304,0.145042,0.13403,0.487628,-0.163927,0.106606,0.585476
12344,0.130996,0.184687,0.418871,-0.0689939,0.0230979,0.611751,0.143102,0.139445,0.483201,-0.161105,0.103316,0.5852
12424,0.128328,0.193685,0.408557,-0.0531839,0.0276048,0.617675,0.141414,0.145187,0.478142,-0.156539,0.0987582,0.585778
12496,0.115998,0.207293,0.41454,-0.0251822,0.0646266,0.623756,0.139884,0.151294,0.472572,-0.150054,0.0931955,0.587278
12567,0.106838,0.206599,0.415572,-0.0333654,0.068291,0.624156,0.138455,0.157544,0.466615,-0.141693,0.0867504,0.589645
12635,0.0978082,0.209563,0.412116,-0.0403237,0.0769092,0.623225,0.136789,0.163512,0.460313,-0.131953,0.0797547,0.592574
12701,0.092664,0.20905,0.416527,-0.0397466,0.0812795,0.626403,0.134778,0.169014,0.453923,-0.121263,0.0728096,0.595765
12767,0.0930667,0.211908,0.419447,-0.0386032,0.0931988,0.630089,0.13246,0.174181,0.44765,-0.110143,0.0667348,0.599132
12827,0.0896311,0.217986,0.429466,-0.0399688,0.113366,0.626829,0.129794,0.179083,0.441769,-0.0990393,0.0621502,0.602651
12884,0.0776873,0.211311,0.437458,-0.0339973,0.121145,0.630848,0.126581,0.183835,0.436599,-0.0882768,0.0596669,0.606268
12944,0.0853891,0.214572,0.435284,-0.0252834,0.121527,0.634702,0.122948,0.188511,0.432181,-0.0779107,0.0593062,0.609998
13003,0.0831431,0.206501,0.438288,-0.0158418,0.111412,0.637859,0.118981,0.19281,0.428715,-0.068046,0.0608051,0.613678
13061,0.0986768,0.204993,0.439524,0.0123257,0.102991,0.647278,0.114839,0.196577,0.426371,-0.0588175,0.0640042,0.617228
13121,0.107992,0.209767,0.444625,0.0312578,0.112439,0.650245,0.110779,0.199664,0.425032,-0.0506119,0.0683353,0.620481
13184,0.115101,0.209504,0.430946,0.0311863,0.103194,0.654941,0.10701,0.2022,0.424484,-0.0433236,0.0736104,0.623471
13246,0.110404,0.204359,0.420788,0.0284722,0.094856,0.655455,0.103771,0.204322,0.424632,-0.036643,0.0794515,0.626348
13308,0.107546,0.204422,0.420846,0.0208571,0.0949832,0.659057,0.101158,0.206135,0.425297,-0.030449,0.0855082,0.629232
13372,0.102712,0.207233,0.413606,0.0134612,0.101048,0.655542,0.0991018,0.207568,0.426254,-0.024573,0.091267,0.632091
13444,0.0924316,0.210144,0.414301,-0.000264255,0.108414,0.660238,0.0975675,0.208548,0.427231,-0.0189279,0.0962234,0.635041
13505,0.0933917,0.206706,0.408634,-0.00832055,0.104741,0.655271,0.0968246,0.209092,0.427877,-0.0135397,0.0999427,0.637956
13568,0.0881651,0.202704,0.394765,-0.0177906,0.0871283,0.654576,0.0966362,0.209089,0.428062,-0.00859981,0.102244,0.640767
13640,0.0818149,0.154661,0.379872,-0.0113726,0.0351431,0.637734,0.096913,0.208349,0.427468,-0.00414673,0.1029,0.643315
13712,0.066391,0.178905,0.3894,-0.0662706,-0.0222411,0.798728,0.0971634,0.207236,0.426064,-0.0011347,0.10155,0.647081
14566,0.0574944,0.171657,0.383367,-0.0635428,-0.0361193,0.799249,0.096989,0.205716,0.423746,0.000364922,0.0982356,0.652073
14654,0.107023,0.110029,0.4077,0.0292338,-0.0819672,0.663892,0.0966511,0.203173,0.421042,0.0011995,0.0927208,0.656846
14740,0.107171,0.114014,0.40643,0.0334112,-0.0741567,0.66222,0.096155,0.199778,0.418107,0.00139551,0.0853364,0.661364
14834,0.107635,0.116418,0.406017,0.0339008,-0.0697872,0.659421,0.0955109,0.195549,0.414982,0.00111592,0.0761673,0.66556
14921,0.107596,0.119437,0.404648,0.0361278,-0.0667718,0.663758,0.0948192,0.19049,0.411825,0.000542346,0.0652415,0.669583
15007,0.106011,0.119783,0.404167,0.0333722,-0.0667885,0.663319,0.0942354,0.184605,0.408718,-9.19046e-05,0.0526133,0.673303
15093,0.106014,0.120222,0.405066,0.0324802,-0.0635729,0.662352,0.0936207,0.177901,0.405864,-0.000574915,0.0384659,0.67685
